 ,X,Y
1,664.000,5072.000
2,3079.500,519.500
3,5279.500,5103.500
4,3663.500,5023.500
5,4535.500,4983.500
6,3703.500,4423.500
7,2983.500,4255.500
8,2567.500,4127.500
9,1495.500,3807.500
10,1415.500,3807.500
11,1431.500,3727.500
12,1295.500,3927.500
13,1911.500,2807.500
14,2135.500,2383.500
15,2439.500,1999.500
16,2399.500,1919.500
17,3967.500,2647.500
18,2759.500,1479.500
19,2719.500,1399.500
20,3338.500,1181.833
21,3251.833,1129.833
22,3342.500,1095.167
23,3294.500,1031.167
24,3214.500,1040.500
25,3169.167,1043.167
26,2999.833,1089.833
27,2978.500,1091.167
28,2882.500,1101.833
29,2790.500,1124.500
30,2837.167,1048.500
31,2989.167,931.167
32,2926.500,920.500
33,3082.500,977.833
34,3139.833,981.833
35,3254.500,944.500
36,3201.167,853.833
37,3150.500,881.833
38,3077.167,815.167
39,3030.500,796.500
40,3009.167,829.833
41,2993.167,833.833
42,3035.833,717.167
