 ,X,Y
1,1920.000,5144.000
2,4255.500,575.500
3,6327.500,5143.500
4,5823.500,4295.500
5,5751.500,4223.500
6,3647.500,4471.500
7,2591.500,4703.500
8,3383.500,3535.500
9,5031.500,3063.500
10,4399.500,2687.500
11,4199.500,2631.500
12,4103.500,2807.500
13,3983.500,2775.500
14,3535.500,2767.500
15,3319.500,2615.500
16,3791.500,2495.500
17,4911.500,2431.500
18,4951.500,2351.500
19,4743.500,2351.500
20,4855.500,2319.500
21,4791.500,1927.500
22,4223.500,1727.500
23,3679.500,1863.500
24,3703.500,1727.500
25,3815.500,1535.500
26,4151.500,1375.500
27,4383.500,1391.500
28,4615.500,1551.500
29,4609.500,1479.500
30,4569.500,1391.500
31,4545.500,1315.500
32,4477.500,1227.500
33,4461.500,1139.500
34,4373.500,1179.500
35,4321.500,1087.500
36,4213.500,1147.500
37,4089.500,1031.500
38,4145.500,963.500
39,4197.500,819.500
40,4321.500,943.500
41,4301.500,887.500
42,4273.500,799.500
43,4341.500,839.500
44,4377.500,927.500
