 ,X,Y
1,1884.000,5172.000
2,4024.500,737.500
3,6155.500,5105.500
4,5991.500,4919.500
5,5343.500,4519.500
6,4311.500,4367.500
7,2527.500,5095.500
8,2071.500,5135.500
9,2019.500,5151.500
10,5567.500,3995.500
11,4487.500,3689.500
12,3287.500,2405.500
13,4073.500,1730.500
14,4319.500,1498.500
15,4271.500,1388.500
16,4223.500,1306.500
17,4121.500,1246.500
18,4057.500,1218.500
19,4069.500,1204.500
20,3881.500,1292.500
21,3743.500,1342.500
22,3915.500,1238.500
23,4231.500,1228.500
24,4167.500,1170.500
25,4101.500,1136.500
26,4113.500,1102.500
27,4171.500,1090.500
28,4013.500,1090.500
29,3973.500,1146.500
30,3883.500,1114.500
31,3933.500,1070.500
32,3923.500,1090.500
33,4053.500,1046.500
34,4081.500,1002.500
35,4131.500,1016.500
36,4003.500,928.500
37,3967.500,996.500
38,3937.500,956.500
39,3977.500,894.500
40,4023.500,858.500
