 ,X,Y
1,1824.000,5120.000
2,4183.500,311.500
3,6463.500,5039.500
4,2559.500,5039.500
5,3399.500,4919.500
6,4055.500,5039.500
7,4319.500,5055.500
8,5615.500,4983.500
9,5695.500,5031.500
10,5831.500,5039.500
11,6383.500,4887.500
12,5991.500,4263.500
13,5631.500,4167.500
14,3727.500,3543.500
15,2351.500,4287.500
16,5543.500,3351.500
17,3711.500,2239.500
18,3751.500,1935.500
19,3407.500,1959.500
20,3687.500,1503.500
21,3871.500,1263.500
22,4207.500,1303.500
23,4215.500,1119.500
24,4479.500,1079.500
25,3814.500,1159.500
26,3906.500,1043.500
27,3884.500,1005.500
28,4026.500,1017.500
29,4098.500,965.500
30,3984.500,919.500
31,3980.500,863.500
32,4156.500,807.500
33,4296.500,879.500
34,4328.500,829.500
35,4396.500,815.500
36,4336.500,765.500
37,4262.500,795.500
38,4302.500,703.500
39,4244.500,693.500
40,4198.500,667.500
41,4070.500,705.500
42,4122.500,531.500
43,4238.500,537.500
44,4290.500,603.500
