 ,X,Y
1,2352.000,5088.000
2,4695.500,567.500
3,6919.500,5135.500
4,6415.500,4879.500
5,6319.500,4599.500
6,6399.500,4583.500
7,6335.500,4503.500
8,6143.500,4231.500
9,6255.500,4063.500
10,5951.500,4023.500
11,4751.500,4215.500
12,4183.500,4055.500
13,3567.500,3703.500
14,4951.500,3551.500
15,5735.500,3511.500
16,5935.500,3399.500
17,5575.500,3175.500
18,5199.500,2983.500
19,4791.500,3263.500
20,3935.500,2967.500
21,3767.500,2903.500
22,3919.500,2847.500
23,4599.500,2423.500
24,5551.500,2375.500
25,5359.500,2247.500
26,5311.500,2183.500
27,4991.500,2063.500
28,4223.500,2071.500
29,3863.500,2231.500
30,3735.500,2447.500
31,4103.500,1743.500
32,4431.500,1543.500
33,4711.500,1575.500
34,4871.500,1599.500
35,5039.500,1527.500
36,4983.500,1215.500
37,4759.500,1031.500
38,4687.500,1087.500
39,4479.500,1031.500
40,4756.833,785.500
41,4723.500,738.833
42,4699.500,756.167
43,4634.167,725.500
44,4691.500,666.833
45,4682.167,636.167
