 ,X,Y
1,144.000,5184.000
2,2639.500,367.500
3,4871.500,5127.500
4,4503.500,5095.500
5,4487.500,5015.500
6,2839.500,5103.500
7,2383.500,5095.500
8,2399.500,4967.500
9,1399.500,4831.500
10,2879.500,4863.500
11,2895.500,4303.500
12,3231.500,4071.500
13,4087.500,4151.500
14,3927.500,3511.500
15,2239.500,4047.500
16,2031.500,3439.500
17,3671.500,3047.500
18,3503.500,2983.500
19,2079.500,2951.500
20,2519.500,2503.500
21,2175.500,2543.500
22,3039.500,2239.500
23,3311.500,2303.500
24,3527.500,2367.500
25,2535.500,1991.500
26,2231.500,2079.500
27,2135.500,2023.500
28,2559.500,1871.500
29,3095.500,1807.500
30,3031.500,1647.500
31,2959.500,1383.500
32,3031.500,1239.500
33,2687.500,1439.500
34,2463.500,1543.500
35,2375.500,1455.500
36,2415.500,1167.500
37,2551.500,1119.500
38,2593.500,1119.500
39,2709.500,839.500
40,2621.500,823.500
41,2517.500,835.500
42,2465.500,855.500
43,2541.500,731.500
44,2529.500,631.500
45,2621.500,491.500
46,2593.500,479.500
