 ,X,Y
1,1936.000,5032.000
2,4247.500,559.500
3,6327.500,5095.500
4,3615.500,5023.500
5,5087.500,4319.500
6,5327.500,4271.500
7,3695.500,3295.500
8,2927.500,3327.500
9,2991.500,3103.500
10,5391.500,3207.500
11,5423.500,3167.500
12,4722.500,1745.500
13,4618.500,1693.500
14,4666.500,1531.500
15,4560.500,1305.500
16,4488.500,1303.500
17,4214.500,1315.500
18,3802.500,1539.500
19,3858.500,1361.500
20,3894.500,1281.500
21,3992.500,1277.500
22,3988.500,1195.500
23,4010.500,1139.500
24,4124.500,1069.500
25,4288.500,1083.500
26,4418.500,1049.500
27,4380.500,977.500
28,4368.500,961.500
29,4326.500,971.500
30,4270.500,927.500
31,4226.500,963.500
32,4220.500,943.500
33,4092.500,1015.500
34,4138.500,897.500
35,4156.500,853.500
36,4194.500,871.500
37,4144.500,825.500
38,4182.500,763.500
39,4164.500,779.500
40,4238.500,777.500
41,4276.500,765.500
42,4268.500,671.500
43,4224.500,651.500
44,4248.500,617.500
