 ,X,Y
1,592.000,5184.000
2,2943.500,671.500
3,5135.500,5095.500
4,4423.500,5023.500
5,3071.500,5071.500
6,2647.500,4703.500
7,815.500,4855.500
8,3071.500,4663.500
9,4535.500,4303.500
10,5047.500,4975.500
11,4207.500,3767.500
12,4207.500,3719.500
13,3839.500,3679.500
14,3383.500,4071.500
15,3799.500,3399.500
16,3975.500,2967.500
17,3743.500,2447.500
18,3543.500,2383.500
19,3239.500,2751.500
20,2903.500,2967.500
21,2175.500,2527.500
22,2431.500,2199.500
23,2391.500,1895.500
24,2775.500,1703.500
25,3103.500,2143.500
26,3535.500,2239.500
27,3487.500,2015.500
28,3359.500,1703.500
29,3199.500,1451.500
30,2907.500,1551.500
31,2683.500,1459.500
32,2843.500,1279.500
33,3043.500,1371.500
34,3167.500,1367.500
35,3019.500,1115.500
36,2879.500,1167.500
37,2711.500,1235.500
38,2719.500,1171.500
39,2779.500,1071.500
40,2899.500,863.500
41,2979.500,847.500
42,2995.500,879.500
43,3047.500,943.500
