 ,X,Y
1,1863.500,5383.500
2,4391.500,519.500
3,6607.500,5391.500
4,6335.500,5335.500
5,6215.500,5095.500
6,6359.500,5039.500
7,6335.500,4943.500
8,5559.500,5047.500
9,4039.500,5311.500
10,3927.500,5271.500
11,3719.500,5391.500
12,2159.500,5319.500
13,2023.500,5367.500
14,2055.500,5167.500
15,2111.500,5135.500
16,2383.500,5111.500
17,2407.500,4991.500
18,2311.500,4887.500
19,4143.500,4519.500
20,4495.500,4199.500
21,4623.500,3919.500
22,5103.500,3991.500
23,3023.500,3847.500
24,4247.500,3439.500
25,5431.500,3623.500
26,5575.500,3607.500
27,5455.500,2903.500
28,5399.500,2879.500
29,5247.500,2719.500
30,5063.500,2687.500
31,3559.500,2535.500
32,3247.500,2863.500
33,4199.500,1999.500
34,4255.500,1927.500
35,3831.500,1943.500
36,4535.500,2031.500
37,5167.500,2295.500
38,4279.500,1655.500
39,4343.500,1583.500
40,4063.500,1367.500
41,4263.500,1071.500
42,4247.500,991.500
43,4335.500,903.500
44,4391.500,655.500
45,4439.500,719.500
