 ,X,Y
1,1328.000,5136.000
2,3559.500,735.500
3,5839.500,5055.500
4,4263.500,5031.500
5,5447.500,5031.500
6,5311.500,4143.500
7,5239.500,4039.500
8,3871.500,4599.500
9,1903.500,4519.500
10,1727.500,4519.500
11,1703.500,4479.500
12,1855.500,4375.500
13,2399.500,3295.500
14,2783.500,2335.500
15,3793.500,1507.500
16,3215.500,1509.500
17,3215.500,1455.500
18,3273.500,1455.500
19,3339.500,1291.500
20,3391.500,1265.500
21,3433.500,1165.500
22,3511.500,1191.500
23,3611.500,1253.500
24,3677.500,1217.500
25,3747.500,1265.500
26,3795.500,1289.500
27,3769.500,1343.500
28,3749.500,1169.500
29,3685.500,1109.500
30,3657.500,1085.500
31,3557.500,1119.500
32,3549.500,1067.500
33,3585.500,1071.500
34,3691.500,1031.500
35,3609.500,993.500
36,3513.500,1047.500
37,3441.500,1085.500
38,3405.500,1071.500
39,3483.500,995.500
40,3513.500,921.500
41,3561.500,835.500
42,3565.500,903.500
43,3651.500,941.500
